time,waist_pos,shoulder_pos,elbow_pos,forearm_roll_pos,wrist_angle_pos,wrist_rotate_pos
1.782207014561219215e+09,-1.104466170072555542e-01,-1.264000177383422852e+00,5.890486240386962891e-01,3.067961661145091057e-03,1.112136125564575195e+00,-8.897088468074798584e-02
1.782207014571240664e+09,-1.104466170072555542e-01,-1.265534162521362305e+00,5.890486240386962891e-01,3.067961661145091057e-03,1.110602140426635742e+00,-9.203884750604629517e-02
1.782207014581201553e+09,-1.104466170072555542e-01,-1.268602132797241211e+00,5.890486240386962891e-01,3.067961661145091057e-03,1.107534170150756836e+00,-9.203884750604629517e-02
1.782207014591093063e+09,-1.104466170072555542e-01,-1.271670103073120117e+00,5.905826091766357422e-01,3.067961661145091057e-03,1.106000185012817383e+00,-9.357283264398574829e-02
1.782207014601185799e+09,-1.104466170072555542e-01,-1.274738073348999023e+00,5.905826091766357422e-01,3.067961661145091057e-03,1.104466199874877930e+00,-9.357283264398574829e-02
1.782207014611422539e+09,-1.104466170072555542e-01,-1.277806043624877930e+00,5.921165943145751953e-01,3.067961661145091057e-03,1.104466199874877930e+00,-9.510681033134460449e-02
1.782207014621192694e+09,-1.104466170072555542e-01,-1.282407999038696289e+00,5.936505794525146484e-01,3.067961661145091057e-03,1.104466199874877930e+00,-9.510681033134460449e-02
1.782207014631302118e+09,-1.104466170072555542e-01,-1.287009954452514648e+00,5.967185497283935547e-01,3.067961661145091057e-03,1.104466199874877930e+00,-9.510681033134460449e-02
1.782207014641452074e+09,-1.104466170072555542e-01,-1.291611909866333008e+00,5.997865200042724609e-01,3.067961661145091057e-03,1.104466199874877930e+00,-9.510681033134460449e-02
1.782207014651196480e+09,-1.104466170072555542e-01,-1.297747731208801270e+00,6.043884754180908203e-01,3.067961661145091057e-03,1.104466199874877930e+00,-9.510681033134460449e-02
1.782207014661135435e+09,-1.104466170072555542e-01,-1.302349686622619629e+00,6.089903712272644043e-01,3.067961661145091057e-03,1.102932214736938477e+00,-9.510681033134460449e-02
1.782207014671323538e+09,-1.119806021451950073e-01,-1.310019612312316895e+00,6.151263117790222168e-01,3.067961661145091057e-03,1.104466199874877930e+00,-9.510681033134460449e-02
1.782207014681216478e+09,-1.119806021451950073e-01,-1.316155552864074707e+00,6.212622523307800293e-01,3.067961661145091057e-03,1.104466199874877930e+00,-9.357283264398574829e-02
1.782207014691219091e+09,-1.119806021451950073e-01,-1.325359463691711426e+00,6.273981332778930664e-01,3.067961661145091057e-03,1.102932214736938477e+00,-8.897088468074798584e-02
1.782207014701228619e+09,-1.135145798325538635e-01,-1.333029389381408691e+00,6.350680589675903320e-01,3.067961661145091057e-03,1.102932214736938477e+00,-8.897088468074798584e-02
1.782207014711217165e+09,-1.135145798325538635e-01,-1.340699195861816406e+00,6.442719697952270508e-01,3.067961661145091057e-03,1.099864244461059570e+00,-8.743690699338912964e-02
1.782207014721198797e+09,-1.135145798325538635e-01,-1.349903106689453125e+00,6.534758210182189941e-01,3.067961661145091057e-03,1.098330259323120117e+00,-8.743690699338912964e-02
1.782207014731392622e+09,-1.135145798325538635e-01,-1.357573032379150391e+00,6.626797318458557129e-01,3.067961661145091057e-03,1.095262289047241211e+00,-8.743690699338912964e-02
1.782207014741195917e+09,-1.135145798325538635e-01,-1.366776943206787109e+00,6.718835830688476562e-01,3.067961661145091057e-03,1.092194318771362305e+00,-8.590292930603027344e-02
1.782207014751239777e+09,-1.135145798325538635e-01,-1.375980854034423828e+00,6.826214790344238281e-01,3.067961661145091057e-03,1.087592363357543945e+00,-8.590292930603027344e-02
1.782207014761217594e+09,-1.135145798325538635e-01,-1.385184645652770996e+00,6.933593153953552246e-01,3.067961661145091057e-03,1.082990407943725586e+00,-8.590292930603027344e-02
1.782207014771286488e+09,-1.150485649704933167e-01,-1.394388556480407715e+00,7.040972113609313965e-01,3.067961661145091057e-03,1.078388571739196777e+00,-8.590292930603027344e-02
1.782207014781647444e+09,-1.150485649704933167e-01,-1.405126452445983887e+00,7.148350477218627930e-01,3.067961661145091057e-03,1.072252631187438965e+00,-8.590292930603027344e-02
1.782207014791507244e+09,-1.150485649704933167e-01,-1.412796378135681152e+00,7.255729436874389648e-01,3.067961661145091057e-03,1.066116690635681152e+00,-8.436894416809082031e-02
1.782207014801296234e+09,-1.150485649704933167e-01,-1.422000288963317871e+00,7.363107800483703613e-01,3.067961661145091057e-03,1.059980750083923340e+00,-8.436894416809082031e-02
1.782207014811556816e+09,-1.150485649704933167e-01,-1.429670095443725586e+00,7.470486760139465332e-01,3.067961661145091057e-03,1.052310824394226074e+00,-8.283496648073196411e-02
1.782207014821209669e+09,-1.150485649704933167e-01,-1.435806035995483398e+00,7.562525272369384766e-01,3.067961661145091057e-03,1.044640898704528809e+00,-8.283496648073196411e-02
1.782207014831815243e+09,-1.150485649704933167e-01,-1.441941976547241211e+00,7.669904232025146484e-01,3.067961661145091057e-03,1.036971092224121094e+00,-8.283496648073196411e-02
1.782207014841220379e+09,-1.150485649704933167e-01,-1.446543931961059570e+00,7.761942744255065918e-01,3.067961661145091057e-03,1.029301166534423828e+00,-8.283496648073196411e-02
1.782207014851485252e+09,-1.150485649704933167e-01,-1.451145887374877930e+00,7.853981852531433105e-01,3.067961661145091057e-03,1.020097255706787109e+00,-8.283496648073196411e-02
1.782207014861153841e+09,-1.150485649704933167e-01,-1.455747842788696289e+00,7.946020960807800293e-01,3.067961661145091057e-03,1.010893344879150391e+00,-8.130098134279251099e-02
1.782207014871179104e+09,-1.150485649704933167e-01,-1.457281827926635742e+00,8.022719621658325195e-01,3.067961661145091057e-03,1.001689434051513672e+00,-8.130098134279251099e-02
1.782207014881439686e+09,-1.150485649704933167e-01,-1.458815813064575195e+00,8.099418878555297852e-01,3.067961661145091057e-03,9.924855828285217285e-01,-8.130098134279251099e-02
1.782207014891187906e+09,-1.135145798325538635e-01,-1.460349798202514648e+00,8.176117539405822754e-01,3.067961661145091057e-03,9.817477464675903320e-01,-7.976700365543365479e-02
1.782207014901174068e+09,-1.119806021451950073e-01,-1.460349798202514648e+00,8.252816796302795410e-01,3.067961661145091057e-03,9.725438356399536133e-01,-7.976700365543365479e-02
1.782207014911654711e+09,-1.119806021451950073e-01,-1.460349798202514648e+00,8.314176201820373535e-01,3.067961661145091057e-03,9.633399844169616699e-01,-7.976700365543365479e-02
1.782207014921267986e+09,-1.104466170072555542e-01,-1.458815813064575195e+00,8.375535607337951660e-01,3.067961661145091057e-03,9.526020884513854980e-01,-7.976700365543365479e-02
1.782207014931560755e+09,-1.089126393198966980e-01,-1.457281827926635742e+00,8.436894416809082031e-01,3.067961661145091057e-03,9.418642520904541016e-01,-7.976700365543365479e-02
1.782207014941120863e+09,-1.089126393198966980e-01,-1.457281827926635742e+00,8.482913970947265625e-01,3.067961661145091057e-03,9.326603412628173828e-01,-7.976700365543365479e-02
1.782207014951178074e+09,-1.073786616325378418e-01,-1.455747842788696289e+00,8.544273376464843750e-01,3.067961661145091057e-03,9.234564304351806641e-01,-7.976700365543365479e-02
1.782207014961399555e+09,-1.058446764945983887e-01,-1.454213857650756836e+00,8.590292930603027344e-01,3.067961661145091057e-03,9.142525792121887207e-01,-7.976700365543365479e-02
1.782207014971192837e+09,-1.043106988072395325e-01,-1.452679872512817383e+00,8.636311888694763184e-01,3.067961661145091057e-03,9.050486683845520020e-01,-7.976700365543365479e-02
1.782207014981181145e+09,-1.027767136693000793e-01,-1.451145887374877930e+00,8.697671294212341309e-01,3.067961661145091057e-03,8.958448171615600586e-01,-7.976700365543365479e-02
1.782207014991532564e+09,-9.970875084400177002e-02,-1.451145887374877930e+00,8.743690848350524902e-01,3.067961661145091057e-03,8.866409063339233398e-01,-7.976700365543365479e-02
1.782207015001250029e+09,-9.817477315664291382e-02,-1.449611902236938477e+00,8.805050253868103027e-01,3.067961661145091057e-03,8.774370551109313965e-01,-7.976700365543365479e-02
1.782207015011492968e+09,-9.664079546928405762e-02,-1.449611902236938477e+00,8.851069211959838867e-01,3.067961661145091057e-03,8.682331442832946777e-01,-7.976700365543365479e-02
1.782207015021121502e+09,-9.664079546928405762e-02,-1.449611902236938477e+00,8.912428617477416992e-01,3.067961661145091057e-03,8.605632185935974121e-01,-7.976700365543365479e-02
1.782207015031251431e+09,-9.357283264398574829e-02,-1.449611902236938477e+00,8.973788022994995117e-01,3.067961661145091057e-03,8.544273376464843750e-01,-7.976700365543365479e-02
1.782207015041260242e+09,-9.203884750604629517e-02,-1.449611902236938477e+00,9.035146832466125488e-01,3.067961661145091057e-03,8.467574119567871094e-01,-7.976700365543365479e-02
1.782207015051252127e+09,-9.203884750604629517e-02,-1.449611902236938477e+00,9.096506237983703613e-01,3.067961661145091057e-03,8.406214714050292969e-01,-7.976700365543365479e-02
1.782207015061259508e+09,-9.050486981868743896e-02,-1.449611902236938477e+00,9.157865643501281738e-01,3.067961661145091057e-03,8.329516053199768066e-01,-7.976700365543365479e-02
1.782207015071135283e+09,-8.897088468074798584e-02,-1.449611902236938477e+00,9.234564304351806641e-01,3.067961661145091057e-03,8.268156647682189941e-01,-7.976700365543365479e-02
1.782207015081158638e+09,-8.743690699338912964e-02,-1.449611902236938477e+00,9.326603412628173828e-01,3.067961661145091057e-03,8.222137093544006348e-01,-7.976700365543365479e-02
1.782207015091292143e+09,-8.743690699338912964e-02,-1.449611902236938477e+00,9.372622966766357422e-01,3.067961661145091057e-03,8.145438432693481445e-01,-7.823302596807479858e-02
1.782207015101249695e+09,-8.743690699338912964e-02,-1.449611902236938477e+00,9.449321627616882324e-01,3.067961661145091057e-03,8.084079027175903320e-01,-7.823302596807479858e-02
1.782207015111260176e+09,-8.590292930603027344e-02,-1.449611902236938477e+00,9.526020884513854980e-01,3.067961661145091057e-03,8.007379770278930664e-01,-7.823302596807479858e-02
1.782207015121381283e+09,-8.590292930603027344e-02,-1.449611902236938477e+00,9.587380290031433105e-01,3.067961661145091057e-03,7.930681109428405762e-01,-7.823302596807479858e-02
1.782207015131191015e+09,-8.590292930603027344e-02,-1.451145887374877930e+00,9.664078950881958008e-01,3.067961661145091057e-03,7.853981852531433105e-01,-7.823302596807479858e-02
1.782207015141564369e+09,-8.590292930603027344e-02,-1.449611902236938477e+00,9.756118059158325195e-01,3.067961661145091057e-03,7.777282595634460449e-01,-7.669904083013534546e-02
1.782207015151586533e+09,-8.436894416809082031e-02,-1.449611902236938477e+00,9.848157167434692383e-01,3.067961661145091057e-03,7.685244083404541016e-01,-7.669904083013534546e-02
1.782207015161311626e+09,-8.436894416809082031e-02,-1.449611902236938477e+00,9.924855828285217285e-01,3.067961661145091057e-03,7.593204975128173828e-01,-7.669904083013534546e-02
1.782207015171144485e+09,-8.283496648073196411e-02,-1.451145887374877930e+00,1.000155448913574219e+00,3.067961661145091057e-03,7.516506314277648926e-01,-7.516506314277648926e-02
1.782207015181270361e+09,-8.130098134279251099e-02,-1.449611902236938477e+00,1.009359359741210938e+00,3.067961661145091057e-03,7.439807057380676270e-01,-7.516506314277648926e-02
1.782207015191271305e+09,-8.130098134279251099e-02,-1.449611902236938477e+00,1.017029285430908203e+00,3.067961661145091057e-03,7.363107800483703613e-01,-7.516506314277648926e-02
1.782207015201216459e+09,-7.976700365543365479e-02,-1.451145887374877930e+00,1.026233196258544922e+00,3.067961661145091057e-03,7.271069288253784180e-01,-7.209710031747817993e-02
1.782207015211348295e+09,-7.976700365543365479e-02,-1.449611902236938477e+00,1.035437107086181641e+00,3.067961661145091057e-03,7.194370031356811523e-01,-7.209710031747817993e-02
1.782207015221282721e+09,-7.823302596807479858e-02,-1.449611902236938477e+00,1.043106913566589355e+00,3.067961661145091057e-03,7.102331519126892090e-01,-7.209710031747817993e-02
1.782207015231744051e+09,-7.669904083013534546e-02,-1.449611902236938477e+00,1.052310824394226074e+00,3.067961661145091057e-03,7.010292410850524902e-01,-7.209710031747817993e-02
1.782207015241194010e+09,-7.516506314277648926e-02,-1.449611902236938477e+00,1.061514735221862793e+00,3.067961661145091057e-03,6.933593153953552246e-01,-7.056311517953872681e-02
1.782207015251844883e+09,-7.516506314277648926e-02,-1.451145887374877930e+00,1.070718646049499512e+00,3.067961661145091057e-03,6.826214790344238281e-01,-7.056311517953872681e-02
1.782207015261132479e+09,-7.363107800483703613e-02,-1.451145887374877930e+00,1.078388571739196777e+00,3.067961661145091057e-03,6.749515533447265625e-01,-7.056311517953872681e-02
1.782207015271233082e+09,-7.363107800483703613e-02,-1.451145887374877930e+00,1.089126348495483398e+00,3.067961661145091057e-03,6.657477021217346191e-01,-6.902913749217987061e-02
1.782207015281345844e+09,-7.363107800483703613e-02,-1.451145887374877930e+00,1.096796274185180664e+00,3.067961661145091057e-03,6.550098061561584473e-01,-7.056311517953872681e-02
1.782207015291254282e+09,-7.363107800483703613e-02,-1.451145887374877930e+00,1.106000185012817383e+00,3.067961661145091057e-03,6.442719697952270508e-01,-6.902913749217987061e-02
1.782207015301182508e+09,-7.209710031747817993e-02,-1.452679872512817383e+00,1.113670110702514648e+00,3.067961661145091057e-03,6.350680589675903320e-01,-6.902913749217987061e-02
1.782207015311661243e+09,-7.209710031747817993e-02,-1.452679872512817383e+00,1.122874021530151367e+00,3.067961661145091057e-03,6.243302226066589355e-01,-6.902913749217987061e-02
1.782207015321258307e+09,-7.209710031747817993e-02,-1.454213857650756836e+00,1.129009842872619629e+00,3.067961661145091057e-03,6.151263117790222168e-01,-6.749515980482101440e-02
1.782207015331223249e+09,-7.209710031747817993e-02,-1.454213857650756836e+00,1.138213753700256348e+00,3.067961661145091057e-03,6.043884754180908203e-01,-6.749515980482101440e-02
